"Time Stamp",WR_WR_COMBINED_R0,WR_WR_COMBINED_16,WR_WR_COMBINED_Act,WR_WR_COMBINED_CUF,WR_WR_COMBINED_AVC,"WR_WR_SOLAR _R0","WR_WR_SOLAR _16","WR_WR_SOLAR _Act","WR_WR_SOLAR _CUF","WR_WR_SOLAR _AVC","WR_WR_WIND _R0","WR_WR_WIND _16","WR_WR_WIND _Act","WR_WR_WIND _CUF","WR_WR_WIND _AVC",WR-ISTS_WR-ISTS_COMBINED_R0,WR-ISTS_WR-ISTS_COMBINED_16,WR-ISTS_WR-ISTS_COMBINED_Act,WR-ISTS_WR-ISTS_COMBINED_CUF,WR-ISTS_WR-ISTS_COMBINED_AVC,"WR-ISTS_WR-ISTS_SOLAR _R0","WR-ISTS_WR-ISTS_SOLAR _16","WR-ISTS_WR-ISTS_SOLAR _Act","WR-ISTS_WR-ISTS_SOLAR _CUF","WR-ISTS_WR-ISTS_SOLAR _AVC","WR-ISTS_WR-ISTS_WIND _R0","WR-ISTS_WR-ISTS_WIND _16","WR-ISTS_WR-ISTS_WIND _Act","WR-ISTS_WR-ISTS_WIND _CUF","WR-ISTS_WR-ISTS_WIND _AVC","Madhya Pradesh_Madhya Pradesh_SOLAR _R0","Madhya Pradesh_Madhya Pradesh_SOLAR _16","Madhya Pradesh_Madhya Pradesh_SOLAR _Act","Madhya Pradesh_Madhya Pradesh_SOLAR _CUF","Madhya Pradesh_Madhya Pradesh_SOLAR _AVC","Madhya Pradesh_Madhya Pradesh_WIND _R0","Madhya Pradesh_Madhya Pradesh_WIND _16","Madhya Pradesh_Madhya Pradesh_WIND _Act","Madhya Pradesh_Madhya Pradesh_WIND _CUF","Madhya Pradesh_Madhya Pradesh_WIND _AVC","Maharastra_Maharastra_SOLAR _R0","Maharastra_Maharastra_SOLAR _16","Maharastra_Maharastra_SOLAR _Act","Maharastra_Maharastra_SOLAR _CUF","Maharastra_Maharastra_SOLAR _AVC","Maharastra_Maharastra_WIND _R0","Maharastra_Maharastra_WIND _16","Maharastra_Maharastra_WIND _Act","Maharastra_Maharastra_WIND _CUF","Maharastra_Maharastra_WIND _AVC","Gujarat_Gujarat_SOLAR _R0","Gujarat_Gujarat_SOLAR _16","Gujarat_Gujarat_SOLAR _Act","Gujarat_Gujarat_SOLAR _CUF","Gujarat_Gujarat_SOLAR _AVC","Gujarat_Gujarat_WIND _R0","Gujarat_Gujarat_WIND _16","Gujarat_Gujarat_WIND _Act","Gujarat_Gujarat_WIND _CUF","Gujarat_Gujarat_WIND _AVC",OKWPL_RE-WIND_WIND_R0,OKWPL_RE-WIND_WIND_16,OKWPL_RE-WIND_WIND_Act,OKWPL_RE-WIND_WIND_CUF,OKWPL_RE-WIND_WIND_AVC,Acme_RUMS-SOLAR_SOLAR_R0,Acme_RUMS-SOLAR_SOLAR_16,Acme_RUMS-SOLAR_SOLAR_Act,Acme_RUMS-SOLAR_SOLAR_CUF,Acme_RUMS-SOLAR_SOLAR_AVC,Arinsun_RUMS-SOLAR_SOLAR_R0,Arinsun_RUMS-SOLAR_SOLAR_16,Arinsun_RUMS-SOLAR_SOLAR_Act,Arinsun_RUMS-SOLAR_SOLAR_CUF,Arinsun_RUMS-SOLAR_SOLAR_AVC,Mahindra_RUMS-SOLAR_SOLAR_R0,Mahindra_RUMS-SOLAR_SOLAR_16,Mahindra_RUMS-SOLAR_SOLAR_Act,Mahindra_RUMS-SOLAR_SOLAR_CUF,Mahindra_RUMS-SOLAR_SOLAR_AVC,RPL_SECI-II_RE-WIND_WIND_R0,RPL_SECI-II_RE-WIND_WIND_16,RPL_SECI-II_RE-WIND_WIND_Act,RPL_SECI-II_RE-WIND_WIND_CUF,RPL_SECI-II_RE-WIND_WIND_AVC,GIWEL_SECI-II_RE-WIND_WIND_R0,GIWEL_SECI-II_RE-WIND_WIND_16,GIWEL_SECI-II_RE-WIND_WIND_Act,GIWEL_SECI-II_RE-WIND_WIND_CUF,GIWEL_SECI-II_RE-WIND_WIND_AVC,IWISL-WIND_WIND_R0,IWISL-WIND_WIND_16,IWISL-WIND_WIND_Act,IWISL-WIND_WIND_CUF,IWISL-WIND_WIND_AVC,GIWEL_SECI-III_RE-WIND_WIND_R0,GIWEL_SECI-III_RE-WIND_WIND_16,GIWEL_SECI-III_RE-WIND_WIND_Act,GIWEL_SECI-III_RE-WIND_WIND_CUF,GIWEL_SECI-III_RE-WIND_WIND_AVC,AGEMPL-WIND_WIND_R0,AGEMPL-WIND_WIND_16,AGEMPL-WIND_WIND_Act,AGEMPL-WIND_WIND_CUF,AGEMPL-WIND_WIND_AVC
00:00,2557,2497,1856,9.25,20073,0,0,15,0.26,5788,2557,2497,1841,12.89,14285,354,359,326,16.31,1999,0,0,0,0,750,354,359,326,26.1,1249,0,0,1,0.07,1445,298,263,342,14.18,2412,0,0,13,0.97,1345,625,649,436,10,4359,0,0,1,0.04,2248,1281,1226,737,11.76,6265,60.59,61.11,65.26,27.42,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,91.53,83.11,58.47,31.69,184.5,50.86,51.57,51.32,20.53,250,47.3,47.12,32.26,21.51,150,56.24,57.21,62.09,23.47,264.6,46.98,59.27,56.32,34.72,162.2
00:15,2822,2483,1904,9.48,20077,0,0,14,0.24,5788,2822,2483,1890,13.23,14289,361,353,347,17.32,2004,0,0,0,0,750,361,353,347,27.67,1254,0,0,1,0.07,1445,426,277,373,15.46,2412,0,0,12,0.89,1345,693,653,435,9.98,4359,0,0,1,0.04,2248,1341,1201,735,11.73,6265,65.08,63.18,66.41,27.9,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,85.46,79.91,65.34,35.41,184.5,54.35,50.45,55.28,22.11,250,49.92,46.1,33.43,22.29,150,58.44,54.6,67.08,25.35,264.6,47.73,58.62,59.65,35.85,166.4
00:30,2832,2470,1934,9.63,20077,0,0,14,0.24,5788,2832,2470,1920,13.44,14289,358,345,344,17.17,2004,0,0,0,0,750,358,345,344,27.43,1254,0,0,1,0.07,1445,449,293,392,16.25,2412,0,0,12,0.89,1345,705,651,425,9.75,4359,0,0,1,0.04,2248,1320,1182,760,12.13,6265,65.45,63.81,64.29,27.01,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,81.75,75.46,53.4,28.94,184.5,53.91,49.38,56.55,22.62,250,48.15,44.79,35.54,23.69,150,59.36,53.42,70.21,26.53,264.6,49.6,58.24,63.62,38.23,166.4
00:45,2845,2699,1990,9.91,20077,0,0,14,0.24,5788,2845,2699,1977,13.84,14289,354,347,343,17.12,2004,0,0,0,0,750,354,347,343,27.35,1254,0,0,1,0.07,1445,473,398,394,16.33,2412,0,0,12,0.89,1345,719,687,439,10.07,4359,0,0,1,0.04,2248,1299,1266,800,12.77,6265,65.89,66.5,61.91,26.01,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,78.08,76.78,41.39,22.43,184.5,53.52,53.96,60.03,24.01,250,46.42,38.01,35.88,23.92,150,60.32,59.74,76.67,28.98,264.6,49.73,52.14,67.32,40.46,166.4
01:00,2859,2718,2095,10.43,20077,0,0,14,0.24,5788,2859,2718,2081,14.56,14289,350,343,351,17.51,2004,0,0,0,0,750,350,343,351,27.99,1254,0,0,1,0.07,1445,495,422,415,17.21,2412,0,0,12,0.89,1345,735,703,460,10.55,4359,0,0,1,0.04,2248,1280,1250,855,13.65,6265,66.33,67.02,59.54,25.02,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,74.46,72.79,42.52,23.05,184.5,53.18,53.5,63.56,25.42,250,44.75,37.1,37.69,25.13,150,61.31,60.75,80.82,30.54,264.6,49.66,51.95,66.39,39.9,166.4
01:15,2968,2739,2196,10.94,20077,0,0,14,0.24,5788,2968,2739,2182,15.27,14289,277,339,356,17.76,2004,0,0,0,0,750,277,339,356,28.39,1254,0,0,1,0.07,1445,588,446,476,19.73,2412,0,0,12,0.89,1345,838,720,463,10.62,4359,0,0,1,0.04,2248,1264,1235,888,14.17,6265,53.98,67.55,60.77,25.53,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,45.29,68.92,53.43,28.96,184.5,48.09,53.08,57.87,23.15,250,28.88,36.22,39.67,26.45,150,66.65,61.81,71.5,27.02,264.6,34.52,51.02,72.41,43.52,166.4
01:30,2982,2481,2199,10.95,20077,0,0,14,0.24,5788,2982,2481,2185,15.29,14289,275,315,342,17.07,2004,0,0,0,0,750,275,315,342,27.27,1254,0,0,1,0.07,1445,594,386,517,21.43,2412,0,0,12,0.89,1345,859,690,452,10.37,4359,0,0,1,0.04,2248,1254,1091,874,13.95,6265,53.79,48.73,59.44,24.97,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,43.62,47.69,55.78,30.23,184.5,48.64,46.58,51.16,20.46,250,28.58,40.72,39.44,26.29,150,66.19,77.68,62.27,23.53,264.6,33.82,53.2,73.7,44.29,166.4
01:45,2998,2530,2133,10.62,20077,0,0,14,0.24,5788,2998,2530,2119,14.83,14289,272,313,343,17.12,2004,0,0,0,0,750,272,313,343,27.35,1254,0,0,1,0.07,1445,601,424,501,20.77,2412,0,0,12,0.89,1345,881,713,448,10.28,4359,0,0,1,0.04,2248,1244,1079,826,13.18,6265,53.72,48.41,61.17,25.7,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,41.96,46.78,59.76,32.39,184.5,49.27,45.49,51.78,20.71,250,28.29,41.16,38.21,25.47,150,65.84,79.55,61.34,23.18,264.6,33.17,51.97,70.92,42.62,166.4
02:00,3015,2558,2153,10.72,20077,0,0,14,0.24,5788,3015,2558,2139,14.97,14289,270,313,358,17.86,2004,0,0,0,0,750,270,313,358,28.55,1254,0,0,1,0.07,1445,606,447,505,20.94,2412,0,0,12,0.89,1345,904,735,458,10.51,4359,0,0,1,0.04,2248,1234,1064,819,13.07,6265,53.73,48.66,63.62,26.73,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,40.33,45.51,67.72,36.7,184.5,50,44.49,52.52,21.01,250,28.02,41.13,36.19,24.13,150,65.82,82.27,67.39,25.47,264.6,32.57,50.64,70.36,42.28,166.4
02:15,3012,2824,2205,10.98,20077,0,0,14,0.24,5788,3012,2824,2192,15.34,14289,264,306,357,17.81,2004,0,0,0,0,750,264,306,357,28.47,1254,0,0,1,0.07,1445,603,523,543,22.51,2412,0,0,12,0.89,1345,928,822,467,10.71,4359,0,0,1,0.04,2248,1216,1173,824,13.15,6265,53.25,53.6,59.27,24.9,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,38.19,38.6,62.4,33.82,184.5,50.2,50.53,53.93,21.57,250,26.15,35.75,38.09,25.39,150,64.54,78.18,72.02,27.22,264.6,31.91,49.6,71.63,43.05,166.4
02:30,2968,2798,2239,11.15,20077,0,0,14,0.24,5788,2968,2798,2225,15.57,14289,259,303,339,16.92,2004,0,0,0,0,750,259,303,339,27.03,1254,0,0,1,0.07,1445,602,526,603,25,2412,0,0,12,0.89,1345,921,821,472,10.83,4359,0,0,1,0.04,2248,1187,1148,812,12.96,6265,52.62,51.91,51.83,21.78,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,35.76,36.76,51.93,28.15,184.5,50.18,50.17,59.76,23.9,250,24.9,35.15,36.68,24.45,150,64.93,78.37,73.58,27.81,264.6,30.48,50.2,64.8,38.94,166.4
02:45,2913,2756,2210,11.01,20077,0,0,14,0.24,5788,2913,2756,2196,15.37,14289,253,292,312,15.57,2004,0,0,0,0,750,253,292,312,24.88,1254,0,0,1,0.07,1445,599,530,621,25.75,2412,0,0,12,0.89,1345,914,821,482,11.06,4359,0,0,1,0.04,2248,1147,1113,780,12.45,6265,51.03,50.22,44.81,18.83,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,34.01,34.83,40.32,21.85,184.5,49.46,48.88,57.7,23.08,250,24.15,33.58,35.52,23.68,150,64.56,75.72,68.64,25.94,264.6,29.64,48.68,65.13,39.14,166.4
03:00,2856,2260,2134,10.63,20077,0,0,14,0.24,5788,2856,2260,2120,14.84,14289,248,325,293,14.62,2004,0,0,0,0,750,248,325,293,23.37,1254,0,0,1,0.07,1445,596,503,603,25,2412,0,0,12,0.89,1345,907,537,470,10.78,4359,0,0,1,0.04,2248,1106,895,753,12.02,6265,49.51,53.79,38.75,16.28,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,32.36,37.02,34.18,18.53,184.5,48.78,59.3,51.95,20.78,250,23.42,39.45,35.73,23.82,150,64.48,67.5,60.34,22.8,264.6,29.14,67.91,72.5,43.57,166.4
03:15,2803,2274,2130,10.61,20077,0,0,14,0.24,5788,2803,2274,2116,14.81,14289,243,318,284,14.17,2004,0,0,0,0,750,243,318,284,22.65,1254,0,0,1,0.07,1445,593,511,584,24.21,2412,0,0,12,0.89,1345,900,552,469,10.76,4359,0,0,1,0.04,2248,1067,893,779,12.43,6265,48.08,51.65,37.93,15.94,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,30.8,34.74,30.67,16.62,184.5,48.16,58.76,50.5,20.2,250,22.73,38.33,34.85,23.23,150,64.6,67.91,61.2,23.13,264.6,28.7,66.62,68.83,41.36,166.4
03:30,2752,2296,2130,10.61,20077,0,0,14,0.24,5788,2752,2296,2116,14.81,14289,239,313,282,14.07,2004,0,0,0,0,750,239,313,282,22.49,1254,0,0,1,0.07,1445,591,534,582,24.13,2412,0,0,12,0.89,1345,894,563,488,11.2,4359,0,0,1,0.04,2248,1029,886,764,12.19,6265,46.79,51.19,37.49,15.75,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,29.34,36.09,33.37,18.09,184.5,47.59,56.13,50.51,20.2,250,21.99,38.19,33.14,22.09,150,64.69,65.44,63.47,23.99,264.6,28.28,66.36,64.16,38.56,166.4
